,course_review_id,course_id,rating,user
118,92237070,1445098,5.0,Omorhefere O. Imoloame
119,79338250,1445098,2.5,S S Sahil Imani
120,74871614,1445098,5.0,Manas Manas
121,60224874,1445098,4.0,Igor Nakabayashi
122,50831852,1445098,1.0,Accounting Poetic
123,23192388,1445098,2.0,Omer Sinai
124,22870804,1445098,2.5,Rahul Agarwal
125,21031860,1445098,3.0,Gokulvasanth Shanmugasundaram
126,20535584,1445098,3.5,Gulzar Ahmad
127,18343198,1445098,5.0,Piotr Słowik
128,97428842,1456380,4.0,Devan Patel
129,97029534,1456380,3.0,Ditshwanelo Letsoalo
130,96981612,1456380,5.0,Aggeliki Petrakopoulou
131,96853516,1456380,5.0,Berkecan Agagil
132,96733304,1456380,3.5,Nganglv
133,96588712,1456380,4.5,Abolade
134,96555672,1456380,5.0,Naresh Tamada
135,96352738,1456380,5.0,Tatiana Gavrila
136,96325754,1456380,5.0,Minh Le
137,96264346,1456380,5.0,Uwimbabazi Deborah
138,97145674,1545910,5.0,Harta
139,95917500,1545910,5.0,Raghad Ibrahim
140,93110472,1545910,5.0,Shobha
141,92922802,1545910,5.0,Saleh Mohammed Alghamdi
142,92368138,1545910,5.0,Zaw Thet Maung
143,89187232,1545910,5.0,Ishtiaque Asad
144,88963444,1545910,3.5,Nikita Upadhyay
145,88818168,1545910,5.0,Alicia Sepulveda
146,85222700,1545910,4.0,Ramdas Harku Navale
147,82598108,1545910,3.0,Mohamed Imam Khan
148,97332126,1507676,4.5,Omar Salama
149,97165862,1507676,5.0,W X
150,96047180,1507676,5.0,Mohan Krishna G
151,91844980,1507676,3.0,Aayush Gaur
152,90991898,1507676,3.5,Emmanuel Nene Angmor
153,90194746,1507676,5.0,Polash
154,88510166,1507676,5.0,Luke G.
155,88357630,1507676,4.0,Dylan Gonsalves
156,88332318,1507676,4.0,Mustafa M hamilton
157,88169340,1507676,5.0,Kaushik Chaudhari
158,79232470,1504046,1.0,Ersin Ozcitak
159,76220348,1504046,4.5,Shakthi
160,74193418,1504046,5.0,Rani Gadiraju
161,62671226,1504046,1.0,Qannouf
162,37948014,1504046,3.5,Mali Hiangrach Madsen
163,35643032,1504046,2.0,Angela Heading
164,33680160,1504046,5.0,Eduardo Martínez Pérez
165,32381556,1504046,4.0,Zsuzsanna Prokai
166,28715304,1504046,4.5,Umair Ali Syed
167,27404826,1504046,5.0,Gus Castro
168,97467726,1508964,5.0,Timothy J Proeber
169,97447848,1508964,3.0,Vipul Parmar
170,97421770,1508964,4.5,Jacob Woosley
171,97369522,1508964,4.0,Milan Kapil
172,97367598,1508964,5.0,Gabe McWilliams
173,97348648,1508964,5.0,Abhijeet Kumar
174,97308962,1508964,5.0,Jonas Schiller
