,id,title,published_title,price,headline,is_paid,instructor_name,instructor_job,category
308,1445812,Consulting Jobs: Become A Highly Paid Consultant & Get Hired,consulting-empire-become-a-6-figure-consultant-fast,$89.99,"Find High-Paying Consulting Jobs, Learn the Skills to Work for A Consulting Firm & Become a Better Consultant",True,Leon,Entrepreneur & Bestselling Instructor,Business
309,1465450,Statistical Data Analysis with SAS,statistical-data-analysis-with-sas,$69.99,"Understanding the Data Flow in SAS: Learn SAS Programming from Data Importing, Management, Manipulation to Data Analysis",True,John,Certified SAS Programmer & Biostatistician Professional,Business
310,540644,Retire from Real Estate! Build a business that sells.,sellyourrealestatebusiness,$49.99,How to structure a real estate business and develop systems that will make the business appealing for someone to buy it.,True,Kristen,Your video real estate coach!,Business
311,708106,QuickBooks Vendors And Accounts Payable,quickbooks-vendors-and-accounts-payable,$19.99,Learn Every Possible Vendor And Accounts Payable Situation In QuickBooks.  Assure Correct Payable Result,True,Mark,Professor of Computerized Accounting,Business
312,661582,SALES: How I doubled my Personal Training sales in 30 days,30-days-to-doubled-sales,$24.99,"Learn the exact six steps I used to double my personal training clients in 30 days, using easy strategies and scripts",True,Chris,"FitPro, Business Coach, Entrepreneur",Business
313,538664,Master Outsourcing | Get the best price & save time,master-outsourcing-get-the-best-price-save-time,$89.99,Learn how to outsource like a professional. Master uncommon techniques & skills for guaranteeing project success.,True,Evan,Founder of Sprintkick | Ex-VC  | Ex-startup founder,Business
314,616958,How to come up with killer business ideas: complete workshop,idea-generation-coming-up-with-killer-business-deas,$89.99,Learn how to become a business idea machine with proven strategies and actionable insights,True,Evan,Founder of Sprintkick | Ex-VC  | Ex-startup founder,Business
315,708118,Learn QuickBooks Inventory Management,quickbooks-inventory,$19.99,Learn Every Possible Merchandise Inventory Situation In QuickBooks,True,Mark,Professor of Computerized Accounting,Business
316,660130,The Complete REIT Investing Course (Updated 2021),reit-investing-how-to-value-reits,$89.99,Copy & Paste Passive Income Investing System - How to Invest Profitably in Real Estate Investment Trusts (REITs),True,Wealthy,Millionaire Investor | Investing Strategies That Work!,Business
317,658450,Romance Short Story - Creative Writing & Outlining Series 2,short-story-romance-2,$89.99,"Fill in the blank system! Use your own characters, plot, and setting to outline your own short story romance book!",True,Mike,"Best Selling Instructor, Author, and Entrepreneur",Business
318,705048,Business Process Management Foundation,business-analysis-102,$19.99,Advance your career designing Business Processes that deliver RESULTS using modeling (BPMN &+) analysis & transformation,True,Michael,MD Procurro Solutions LLC,Business
